id_commune,nom_commune,arrondissement,adm2_pcode,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24
C-021,Jacmel,Jacmel,HT0211,3.706090729157258,-4.872537961897828,0.8562135277639842,-2.296894537638556,-1.9817497454222397,-0.08431698365492422,0.9757357346125849,-0.5577143041126637,0.9114667483560149,0.012521336650006017,0.17230591531729528,1.1005217072490057,-0.5665295524139947,-0.2980489105064657,-0.6354141590171488,-0.07274699386369815,-0.041122641946397344,0.11124740648900155,0.008836807661696016,-0.037658716903290826,0.12720839828567362,0.08007344141904875,0.12360894489581031,0.0004500096681890621
C-022,Marigot,Jacmel,HT0212,-0.08185196341878044,-2.3761315710977042,0.7528791873674078,0.17736362365581618,0.15304272189960702,-0.16625125340215635,-0.8384669131030772,0.5126653885796723,0.8126347918165365,-2.531350751521736,-1.122723831932098,0.5698852678314954,0.617171690262585,0.17033689984940056,0.9190553884310849,0.20944160645836987,-0.2821171926265323,0.23200670398354814,0.09994779091702184,0.07559963303075908,-0.03752007539118103,0.05718899998334461,-0.01860788914427682,0.002139305993799202
C-023,Cayes-Jacmel,Jacmel,HT0213,-1.3278516041881352,-1.175592629689896,-0.5925632276468831,0.10265663598700177,0.26530996936181217,0.5028071237811877,-0.9955885087140354,-0.7394668929306548,0.22952231222016167,-0.5427529088014605,0.08536899296871896,0.36563781542416235,0.7617670245050648,-0.36758053696993126,-0.12045556697222581,0.5892448716162966,-1.0621313440126803,0.17879056772083912,0.18679969651875797,0.09704813721576266,0.25340750208682894,0.032543917076832705,0.0856995070193823,0.0025224791022173095
C-024,La Vallée de Jacmel,Jacmel,HT0214,-0.6250761877272082,-1.5495324235675851,-0.7028057788249207,-2.1448381465712085,-0.7988805489568609,0.7010281974519429,-0.7713113911959323,0.8147243520961719,-0.21015433501815903,-0.6539203265534569,0.19032770905812724,1.3798306383663046,0.3914577987518644,0.2646460033675906,-0.4592991325488545,0.13820057392090096,-0.3371201130685352,-0.38183187005186175,0.44629607175639135,0.2605185726132406,-0.19946545868059073,0.14543732239588938,-0.018397480904803167,-7.316573438304485e-05
C-025,Bainet,Bainet,HT0221,-2.0224687022603383,-1.7927030600188263,0.665095224052883,0.21021141376545616,-0.6821166283548017,-0.15247054788854525,0.9113336738515937,-1.087139478531908,-0.7529549209784235,-0.4771006129666602,-1.4379424114216035,-0.8182400342914646,1.4858953237648787,-0.23315518653679154,-0.08832562236371097,0.5671896017283786,-0.22888262344684407,-0.20332240231473872,0.005208215031255224,0.08422840753340387,0.1326912699385169,0.21289733522038345,-0.0010589452459570776,-0.0008510911137024068
C-026,Côtes-de-Fer,Bainet,HT0222,-2.7762485965988057,-1.708302586084224,-0.33496628230097086,-0.40232470124357805,-0.17779337989154734,-0.08054552167719202,0.5717704929388903,-0.8948741122318193,-0.7794449182655788,0.17856480350368575,-0.8482641956659654,-0.400880373119041,0.6705841687085418,-0.08173291960403131,-0.4866368082260402,0.12758940170871158,0.10792894004578835,0.02503286370560651,0.48432862373378677,0.3234603986857787,0.070708692980729,0.1810710473102329,-0.025118012000382425,0.0005412823193567468
C-027,Belle-Anse,Belle-Anse,HT0231,-1.8546976016276249,-1.9658807286192976,1.6686250924361257,1.3803580756010005,-0.09025068071729718,0.5485652322228652,-0.5254663133419362,0.47051338919997304,0.6439193012841972,-0.4208965995974651,-0.4642238373582854,-0.3934770167837476,0.8816665691763343,-0.20900721545654002,0.39307847256045036,0.6014105475138536,0.8104195208735703,-0.31279772582331133,-0.45037939990207626,0.04894789965067853,0.09370219201315581,-0.07528313379113398,-0.03326078190425297,-0.0022140819259515348
C-028,Grand-Gosier,Belle-Anse,HT0232,-3.767593273740136,0.2432784782005914,-0.5267715169713049,0.39075427235229504,1.3141114875338578,-1.2615558734158936,-0.6051173937099673,0.33072375001208465,-1.0935842448903328,-0.15654709566855995,-0.03578885743151292,-0.21887852389715318,-0.8767033907710367,-0.3242297547351049,-0.4771466945427745,0.15642296896613767,0.1960890215919238,0.5884602972578745,0.4778915300778343,-0.5541588561182046,-0.05619940429290205,-0.045299721499960276,-0.0007214215235876527,0.0004628886639984081
C-029,Thiotte,Belle-Anse,HT0233,-0.3840083757831097,-0.9174614311007001,0.364674372775755,-0.3220396589037825,-1.324191293201185,0.024862545157072244,-1.3009237058993837,1.6699202695558253,-0.480587031883995,0.44987710993294117,-0.13660897828727478,-0.34931030774376953,0.19100672639120184,0.532344458583508,0.24641295913009179,-0.6348291604636257,-0.45902906817184574,0.034176069366596534,-0.13417619001259654,-0.26110784956710725,-0.41221192102597976,-0.12726921920735518,-0.044754229427828716,0.0013319732296308312
C-030,Anse-à-Pitre,Belle-Anse,HT0234,-0.31786685041618695,2.330302360128935,0.89388418781581,0.3584167476402809,-0.5157178007216776,-2.218242631090255,0.39767810045839447,0.41729851303028664,-1.0869594367773334,0.47798194088559987,-0.2725376883304195,-0.2067764598102414,-0.5900628882358562,0.5116706435187344,0.0626462770560612,-0.6491124167321007,0.13612364428072488,-0.5836616073847519,0.08742866550201574,-0.00738290389688866,-0.5593205937639593,0.5175404693787056,-0.03249140107231776,0.00020072844457410323
