variable,transformation_acp,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24
taux_compte_mobile,standardisation seule,-0.5376758452700008,-0.6129230578328381,-0.05557004486537701,-0.14850530796087535,-0.1844078110593647,-0.22516927302634515,0.05205358510464911,0.015437726377343433,0.22299905623368857,0.053276099769532625,0.11837085192277318,0.14099667153169626,-0.047319468857092734,-0.20759485748879236,0.012673686738775123,-0.11832819658648201,0.28646362456394286,-0.025646225266976023,-0.01543689687936006,0.024646885623258848,-0.006428762559044165,-0.008071641861119406,0.00029983292958635373,-3.0819956930628695e-07
taux_utilisation_OTA,standardisation seule,-0.573024092280893,-0.5263614916851499,-0.10944834215485895,-0.01547153823326973,-0.01338117139996236,-0.10673376061117147,-0.13546002049230818,0.1615661926996322,-0.1421381625957428,-0.17110917014264398,-0.31799143162116583,-0.17427730878527384,0.07838746508241173,0.3483574367436928,-0.01065878480644128,-0.0640147941822951,0.14289926852268753,0.007020607961683553,-0.014137440650474897,0.004676684274029088,-0.009808375161261831,-0.00740997066487824,-0.0038241855152733187,-7.454954137967473e-07
score_connaissance_fka,standardisation seule,0.3724460196540367,0.41779312922727646,0.035642965696249064,-0.07061038240766383,-0.030397571255894523,-0.33708793284396005,0.01293525652658906,0.5835418362163478,-0.15552759660979035,-0.09125473439790262,0.4190600415479098,0.06446400704692087,0.06108192201383767,0.08027032013077241,-0.07999374844816086,0.04283106773597652,0.03438988349035538,0.011501549730470378,-0.009313781876177206,-0.014492282578784,-0.011109650080239909,-0.0016546120471998668,-0.001132303895210394,-1.0108415325655908e-06
taux_connaissance_banque,standardisation seule,-0.049710111768483924,0.0762621676972874,0.11310192616923802,0.7450332482578031,-0.16041139302606838,-0.3385886813940131,-0.07136331023972521,-0.23044375568109965,-0.1753179318533218,-0.419063380310244,0.0548002368135003,-0.08843069677201067,-0.024032860771905192,-0.10258881280361988,0.04271021955626292,0.024141060544514526,0.03202132177021226,-0.00893732484068728,-0.0021600025588208956,-0.02418881081176386,0.000371617361118757,-0.009576602331901884,0.00029779321628872074,1.731099250801005e-07
taux_satisfaction_banque,standardisation seule,-0.29366413163393634,0.0204636906586091,0.19587809568919723,0.6202674191247375,-0.10448242250597933,0.07739278493913396,-0.2822062327798952,0.22179334114486937,0.17545646198502834,0.531256646759638,0.02576728502746825,-0.18166355579457993,0.05172540132806752,0.010031541198053337,-0.002273101462134396,-0.03411996787170722,0.01720484325078486,0.009158132242234683,0.022571608307807463,-0.0013760886406047174,-0.013201159431175988,-0.00015729687768631972,0.001693659112015431,7.39713809939401e-07
taux_epargne_formelle,standardisation seule,0.634848073376559,0.6810785159226409,0.042596309141972634,0.02760959212922064,0.06919240678097867,-0.04595959318967658,0.07883741477802003,-0.11032724802157017,0.13817928084821918,0.04370070266931654,-0.0992554014748308,0.07188223024119537,0.05912965563490932,0.08288592844247197,-0.06971728948471724,-0.016454418166566592,0.11689306968401256,-0.12572886663262806,0.09562066945314097,-0.027592382380276094,0.06925176449376869,-0.12935291016418302,0.002491389039526317,-7.134393451955526e-07
taux_telephone_mobile,standardisation seule,0.36206298621862215,0.4838350368130611,0.07035400492058691,-0.06101909374244029,-0.3780857553683825,0.13738876536304506,-0.024690974160524758,0.39875503074545804,0.21693691392141068,-0.22833061730521492,-0.39739915484915556,-0.024518616617776365,0.07124184576751878,-0.18192806966823605,0.10732733204564034,0.04439627996365431,0.007851367697663814,0.042956139888280905,-0.022664508716951987,-0.0013668497788606362,0.005344247312679242,0.007057993468693984,-0.002756134394434549,-1.8286033443650946e-08
taux_internet,standardisation seule,0.5949616785923033,0.7248865482887287,0.03690773051881485,0.03767427165438565,0.05129113504704443,-0.07423088533939023,0.0466965999464533,-0.1734720392574098,0.10654828974933157,0.015854454788139186,-0.053121465449248895,0.032484848677578365,0.037406689260519446,0.0929312741139095,-0.014726978689872867,-0.012019129068664976,0.12488876676380593,-0.11078879274687149,0.035146521384860276,0.06805701514258192,-0.0904319922281298,0.12946779529317545,-0.0015958576863554735,-2.2753300790626183e-07
indice_privation_spatiale,standardisation seule,-0.0871974989840071,-0.08371138025684183,0.22478484155182277,0.020953559186754626,0.7694640683228638,0.15795209989043227,-0.3374020132182503,0.11311435414590144,0.3151980604316158,-0.2865636281300484,0.06916357582187198,-0.07159138309103295,-0.010876187702802955,-0.06353642407076066,-0.001411735555337681,0.0202530988280788,0.044114377195584045,0.006571740476989129,0.0028132115445485485,-0.00018837975412406823,-0.003865947009606691,-0.0003970123324461829,0.00022335468116908063,4.903625909042157e-07
part_urbaine,standardisation seule,0.7459136994347059,0.48557467113149055,-0.030447847454979634,0.02003472930885161,0.05179371716700991,-0.13505001252482196,0.03986069775078631,-0.1466617640881249,0.17262874500938596,0.04365712085406468,-0.002864944965090644,-0.06514151525582278,-0.0980203837299119,0.07564160902881992,-0.0618282785865172,-0.19472185934086267,0.02872986342514061,0.20866907856144937,-0.1738980463784703,-0.04226596028209521,0.013473911960463257,-0.007811278595787096,-0.003346289458148778,1.5833961556849497e-06
