id_commune,nom_commune,arrondissement,zone_wbg,urbain_rural,strate,brh_maison_de_transfert,brh_agent_non_bancaire,brh_banque,brh_atm,brh_microfinance,brh_caisse_populaire,brh_total_effectif,population_totale,population_urbaine,pop_masculine,pop_masculine_urbaine,pop_feminine,pop_feminine_urbaine,pop_masculine_18_plus,pop_masculine_18_plus_urbaine,pop_feminine_18_plus,pop_feminine_18_plus_urbaine,nb_menages,nb_menages_urbains,superficie_km2,superficie_urbaine_km2,taux_compte_formel,taux_compte_mobile,taux_utilisation_OTA,score_connaissance_fka,taux_connaissance_banque,taux_satisfaction_banque,taux_epargne_formelle,taux_endettement_formel,taux_telephone_mobile,taux_internet,acces_routier,classe_urbanisation,classe_densite_demographique,classe_densite_bancaire,classe_diversite_services,taux_pauvrete_proxy,indice_privation_spatiale,classe_privation_spatiale,departement,classe_taille_population,classe_pauvrete,a_une_banque,profil_services_financiers,classe_taille_menage,part_urbaine,densite_hab_km2,densite_bancaire_10k,nb_types_services,taille_moyenne_menage
C-076,Saint-Michel-de-l'Attalaye,Marmelade,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),6,19,0,0,2,1,28,165223,81951,81527,40141,83696,41810,47429,23484,49624,24770,37124,17986,613.74,7.46,30.12,15.27,59.28,2.43,81.26,66.47,2.64,2.56,66.23,10.73,Proche,Mi-urbaine,Moyenne,Faible,Élevée,52.9,0.326,Faible,Artibonite,Grande,Faible,Non,Microfinance sans banque,Petite,0.4960023725510371,269.2068302538534,1.694679312202296,4,4.450571059153108
C-077,Marmelade,Marmelade,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,1,0,0,1,1,4,41775,20544,21190,10578,20585,9966,12578,6310,12610,6136,8275,3888,108.94,1.1,21.11,11.58,65.96,3.44,100.0,81.99,3.13,3.07,64.61,11.05,Proche,Mi-urbaine,Moyenne,Faible,Élevée,50.6,0.435,Moyenne,Artibonite,Moyenne,Faible,Non,Microfinance sans banque,Grande,0.49177737881508077,383.46796401689005,0.9575104727707959,4,5.04833836858006
C-078,Hinche,Hinche,Connectée (RN),Urbain,Urbaine-Connectée (RN),10,41,4,2,5,3,65,138051,74966,69428,37164,68623,37802,40779,22471,40513,23259,30089,16679,588.4,4.65,17.4,2.98,44.36,3.84,95.07,69.51,14.66,8.58,100.0,40.9,Proche,Mi-urbaine,Faible,Élevée,Élevée,68.7,0.815,Élevée,Centre,Grande,Élevée,Oui,Pôle financier complet,Moyenne,0.5430311986150046,234.62100611828689,4.708404864868781,6,4.588088670278175
C-079,Maïssade,Hinche,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,9,0,0,1,1,12,67315,31272,34411,15817,32904,15455,19387,8658,18782,9040,14547,6876,288.43,7.65,31.28,14.5,66.86,3.77,100.0,83.19,3.2,2.41,74.53,12.87,Proche,Mi-urbaine,Faible,Moyenne,Élevée,67.1,0.705,Élevée,Centre,Grande,Élevée,Non,Microfinance sans banque,Moyenne,0.46456213325410384,233.3841833373782,1.782663596523806,4,4.62741458720011
C-080,Thomonde,Hinche,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),5,14,0,0,1,1,21,70662,25398,36735,12844,33927,12554,20352,7045,19150,7088,15134,5491,359.91,5.55,25.85,10.83,79.4,2.78,98.6,86.43,3.27,2.46,57.64,12.93,Proche,Mi-urbaine,Faible,Moyenne,Élevée,56.8,0.53,Moyenne,Centre,Grande,Moyenne,Non,Microfinance sans banque,Moyenne,0.3594293962808865,196.33241643744267,2.97189437038295,4,4.669089467424342
C-081,Cerca-Carvajal,Hinche,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),2,5,0,0,0,0,7,26561,11874,13288,6004,13273,5870,7137,3212,7271,3281,4901,2243,156.59,1.24,27.72,9.46,93.01,3.28,92.51,76.96,3.49,2.9,65.05,12.84,Proche,Mi-urbaine,Faible,Moyenne,Moyenne,51.5,0.399,Faible,Centre,Petite,Faible,Non,Aucune institution formelle,Grande,0.4470464214449757,169.62130404240372,2.6354429426602914,2,5.419506223219751
C-082,Mirebalais,Mirebalais,Connectée (RN),Rural,Rurale-Connectée (RN),14,28,1,1,5,3,52,111654,42210,56132,20912,55522,21298,34273,12679,33764,13120,26617,10222,330.87,2.1,17.09,20.44,95.89,3.81,89.09,61.91,2.49,2.92,86.34,11.04,Proche,Mi-urbaine,Moyenne,Élevée,Élevée,71.5,0.814,Élevée,Centre,Grande,Élevée,Oui,Pôle financier complet,Petite,0.3780428824762212,337.45579834980504,4.657244702384151,6,4.194837885561859
C-083,Saut-d'Eau,Mirebalais,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),4,6,0,0,1,1,12,44616,12615,23033,6612,21583,6003,13391,3605,12868,3496,10314,2929,179.41,2.15,23.3,13.7,84.22,4.12,100.0,83.24,3.1,3.11,77.5,9.56,Éloigné,Rurale,Faible,Moyenne,Élevée,45.5,0.187,Faible,Centre,Moyenne,Faible,Non,Microfinance sans banque,Petite,0.28274610005379236,248.68179031269162,2.6896180742334588,4,4.325770796974986
C-084,Boucan-Carré,Mirebalais,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),1,6,0,0,1,0,8,63982,9957,33091,5147,30891,4810,19110,2724,17990,2691,15134,2314,353.63,4.41,27.97,12.44,100.0,3.73,100.0,77.03,2.84,3.3,60.36,14.18,Éloigné,Rurale,Faible,Faible,Moyenne,71.2,0.86,Élevée,Centre,Grande,Élevée,Non,Microfinance sans banque,Petite,0.1556218936575912,180.92921980601193,1.25035166140477,3,4.227699220298665
C-085,Lascahobas,Lascahobas,Non-connectée (H-Ile),Rural,Rurale-Non-connectée (H-Ile),10,20,0,0,1,3,34,52396,22307,26201,10866,26195,11441,15242,6264,14990,6519,11156,4607,151.68,0.85,27.33,11.63,74.11,2.92,100.0,100.0,2.96,2.85,67.2,12.41,Proche,Mi-urbaine,Moyenne,Élevée,Élevée,50.0,0.324,Faible,Centre,Moyenne,Faible,Non,Microfinance sans banque,Moyenne,0.42573860600045804,345.43776371308013,6.489044965264524,4,4.69666547149516
